Name,Start Time (UTC),Start Time (As Stated),End Time (UTC),End Time (As Stated),Affiliation,Website/Primary URL,Notes
UK PonyCONLINE: Britannia's Birthday Bash,2020-06-13 10:00,2020-06-13T11:00+01:00,2020-06-13 22:00,2020-06-13T23:00+01:00,UK PonyCon,https://online.ukponycon.co.uk/,
SLPonyCon,2020-06-01 18:00,2020-06-01T11:00-07:00,2020-07-01 03:00,2020-06-30T20:00-07:00,SLPonyCon,https://www.slponycon.com/,
BatCon Online,2020-06-01 14:00,2020-06-01T10:00-04:00,2020-06-02 04:30,2020-06-02T00:30-04:00,BatCon Online,https://batcononline.weebly.com/,Canceled; end time listed here is the the originally planned start of closing ceremonies as no actual end time for that was given; Twitter account @BatconOnline
PonyFest Online 3.0,2020-05-30 09:00,2020-05-30T05:00-04:00,2020-05-31 08:00,2020-05-31T04:00-04:00,PonyFest Online,https://ponyfest.horse/,
Quantum SEAPonyCon,2020-05-24 04:00,2020-05-24T04:00+00:00,2020-05-24 19:40,2020-05-24T19:40+00:00,SEAPonyCon,https://seaponycon.com/,End time is approximate based on Twitter posts and Twitch stream.
Ponies Online 2020,2020-05-23 14:00,2020-05-23T10:00-04:00,2020-05-24 14:00,2020-05-24T10:00-04:00,Ponies Online,https://poniesonline.org/,
Burning Mare Music Festival,2020-05-16 18:00,2020-05-16T14:00-04:00,2020-05-18 06:00,2020-05-18T02:00-04:00,Burning Mare Music Festival,https://twitter.com/BurningMare,
BABSConline,2020-05-09 02:00,2020-05-08T19:00-07:00,2020-05-10 07:00,2020-05-10T00:00-07:00,BABSCon,https://online.babscon.com/,
Midair Pony Fair 2020,2020-05-01 20:45,2020-05-01T16:45-04:00,2020-05-02 21:15,2020-05-02T17:15-04:00,Midair Pony Fair,https://midairponyfair.com/,Using opening and closing ceremonies for start and end.
PonyFest Online 2.0,2020-04-25 14:00,2020-04-25T10:00-04:00,2020-04-26 07:00,2020-04-26T03:00-04:00,PonyFest Online,https://ponyfest.horse/,
Trot OnLine,2020-04-04 07:30,2020-04-04T18:00+10:30,2020-04-04 13:30,2020-04-05T00:00+10:30,AliCon,https://www.aliconmlp.com/,
PonyFest Online 1.0,2020-03-28 14:00,2020-03-28T10:00-04:00,2020-03-29 07:00,2020-03-29T03:00-04:00,PonyFest Online,https://ponyfest.horse/,Twitter account @PonyFestOnline which isn't linked from the website.
